"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"73","154","154","154","0.47308140993118286","0.47308140993118286","0.47308140993118286","154","154","154","0.4924318492412567","0.4924318492412567","0.4924318492412567","153","153","153","0.430148184299469","0.430148184299469","0.430148184299469"
"74","156","156","156","0.4456327557563782","0.4456327557563782","0.4456327557563782","156","156","156","0.4230814278125763","0.4230814278125763","0.4230814278125763","155","155","155","0.46311792731285095","0.46311792731285095","0.46311792731285095"
"75","158","158","158","0.4611009359359741","0.4611009359359741","0.4611009359359741","158","158","158","0.44637465476989746","0.44637465476989746","0.44637465476989746","157","157","157","0.4273136556148529","0.4273136556148529","0.4273136556148529"
"76","160","160","160","0.45425090193748474","0.45425090193748474","0.45425090193748474","160","160","160","0.43599024415016174","0.43599024415016174","0.43599024415016174","159","159","159","0.4257833659648895","0.4257833659648895","0.4257833659648895"
"77","162","162","162","0.44091877341270447","0.44091877341270447","0.44091877341270447","162","162","162","0.46206504106521606","0.46206504106521606","0.46206504106521606","161","161","161","0.47433891892433167","0.47433891892433167","0.47433891892433167"
"78","164","164","164","0.41328155994415283","0.41328155994415283","0.41328155994415283","164","164","164","0.45347458124160767","0.45347458124160767","0.45347458124160767","163","163","163","0.4450823962688446","0.4450823962688446","0.4450823962688446"
"79","167","167","167","0.4451778531074524","0.4451778531074524","0.4451778531074524","167","167","167","0.4593951404094696","0.4593951404094696","0.4593951404094696","166","166","166","0.44579100608825684","0.44579100608825684","0.44579100608825684"
"80","169","169","169","0.4268326759338379","0.4268326759338379","0.4268326759338379","169","169","169","0.42313939332962036","0.42313939332962036","0.42313939332962036","168","168","168","0.4332575500011444","0.4332575500011444","0.4332575500011444"
"81","171","171","171","0.40270286798477173","0.40270286798477173","0.40270286798477173","171","171","171","0.4303357005119324","0.4303357005119324","0.4303357005119324","170","170","170","0.4276125133037567","0.4276125133037567","0.4276125133037567"
"82","173","173","173","0.42181798815727234","0.42181798815727234","0.42181798815727234","173","173","173","0.4313291013240814","0.4313291013240814","0.4313291013240814","172","172","172","0.4289301037788391","0.4289301037788391","0.4289301037788391"
"83","175","175","175","0.4687155485153198","0.4687155485153198","0.4687155485153198","175","175","175","0.43572577834129333","0.43572577834129333","0.43572577834129333","174","174","174","0.46268317103385925","0.46268317103385925","0.46268317103385925"
"84","177","177","177","0.5009104609489441","0.5009104609489441","0.5009104609489441","177","177","177","0.4427139163017273","0.4427139163017273","0.4427139163017273","176","176","176","0.4420110285282135","0.4420110285282135","0.4420110285282135"
