"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"61","129","129","129","0.002883597742766142","0.002883597742766142","0.002883597742766142","129","129","129","0.0026719574816524982","0.0026719574816524982","0.0026719574816524982","128","128","128","0.0022751321084797382","0.0022751321084797382","0.0022751321084797382"
"62","131","131","131","0.002222222276031971","0.002222222276031971","0.002222222276031971","131","131","131","0.00238095223903656","0.00238095223903656","0.00238095223903656","130","130","130","0.001534391543827951","0.001534391543827951","0.001534391543827951"
"63","133","133","133","0.004021164029836655","0.004021164029836655","0.004021164029836655","133","133","133","0.003333333181217313","0.003333333181217313","0.003333333181217313","132","132","132","0.0030423281714320183","0.0030423281714320183","0.0030423281714320183"
"64","135","135","135","0.0036243386566638947","0.0036243386566638947","0.0036243386566638947","135","135","135","0.0025661373510956764","0.0025661373510956764","0.0025661373510956764","134","134","134","0.0025925925001502037","0.0025925925001502037","0.0025925925001502037"
"65","137","137","137","0.004894179757684469","0.004894179757684469","0.004894179757684469","137","137","137","0.0026455025654286146","0.0026455025654286146","0.0026455025654286146","136","136","136","0.0032010581344366074","0.0032010581344366074","0.0032010581344366074"
"66","139","139","139","0.0032275132834911346","0.0032275132834911346","0.0032275132834911346","139","139","139","0.004047619178891182","0.004047619178891182","0.004047619178891182","138","138","138","0.00238095223903656","0.00238095223903656","0.00238095223903656"
"67","141","141","141","0.004312169272452593","0.004312169272452593","0.004312169272452593","141","141","141","0.0032275132834911346","0.0032275132834911346","0.0032275132834911346","140","140","140","0.0032010581344366074","0.0032010581344366074","0.0032010581344366074"
"68","143","143","143","0.00476190447807312","0.00476190447807312","0.00476190447807312","143","143","143","0.0030423281714320183","0.0030423281714320183","0.0030423281714320183","142","142","142","0.0020634920801967382","0.0020634920801967382","0.0020634920801967382"
"69","146","146","146","0.004444444552063942","0.004444444552063942","0.004444444552063942","146","146","146","0.005026455037295818","0.005026455037295818","0.005026455037295818","145","145","145","0.002222222276031971","0.002222222276031971","0.002222222276031971"
"70","148","148","148","0.00515872985124588","0.00515872985124588","0.00515872985124588","148","148","148","0.004603174515068531","0.004603174515068531","0.004603174515068531","147","147","147","0.0026984126307070255","0.0026984126307070255","0.0026984126307070255"
"71","150","150","150","0.005291005130857229","0.005291005130857229","0.005291005130857229","150","150","150","0.0053174602799117565","0.0053174602799117565","0.0053174602799117565","149","149","149","0.0036243386566638947","0.0036243386566638947","0.0036243386566638947"
"72","152","152","152","0.004682539496570826","0.004682539496570826","0.004682539496570826","152","152","152","0.005079364869743586","0.005079364869743586","0.005079364869743586","151","151","151","0.0034656082279980183","0.0034656082279980183","0.0034656082279980183"
"73","154","154","154","0.0059523805975914","0.0059523805975914","0.0059523805975914","154","154","154","0.006851851940155029","0.006851851940155029","0.006851851940155029","153","153","153","0.003915343899279833","0.003915343899279833","0.003915343899279833"
"74","156","156","156","0.006693121511489153","0.006693121511489153","0.006693121511489153","156","156","156","0.004470899701118469","0.004470899701118469","0.004470899701118469","155","155","155","0.006005290895700455","0.006005290895700455","0.006005290895700455"
"75","158","158","158","0.005105820018798113","0.005105820018798113","0.005105820018798113","158","158","158","0.006825396791100502","0.006825396791100502","0.006825396791100502","157","157","157","0.005608465522527695","0.005608465522527695","0.005608465522527695"
"76","160","160","160","0.008597883395850658","0.008597883395850658","0.008597883395850658","160","160","160","0.007804232649505138","0.007804232649505138","0.007804232649505138","159","159","159","0.004576719366014004","0.004576719366014004","0.004576719366014004"
"77","162","162","162","0.006269841454923153","0.006269841454923153","0.006269841454923153","162","162","162","0.0073015871457755566","0.0073015871457755566","0.0073015871457755566","161","161","161","0.005978835746645927","0.005978835746645927","0.005978835746645927"
"78","164","164","164","0.008703703060746193","0.008703703060746193","0.008703703060746193","164","164","164","0.0075661372393369675","0.0075661372393369675","0.0075661372393369675","163","163","163","0.007222222164273262","0.007222222164273262","0.007222222164273262"
"79","167","167","167","0.009682539850473404","0.009682539850473404","0.009682539850473404","167","167","167","0.006984126754105091","0.006984126754105091","0.006984126754105091","166","166","166","0.007460317574441433","0.007460317574441433","0.007460317574441433"
"80","169","169","169","0.009179893881082535","0.009179893881082535","0.009179893881082535","169","169","169","0.005634920671582222","0.005634920671582222","0.005634920671582222","168","168","168","0.008756613358855247","0.008756613358855247","0.008756613358855247"
"81","171","171","171","0.009735450148582458","0.009735450148582458","0.009735450148582458","171","171","171","0.007751322351396084","0.007751322351396084","0.007751322351396084","170","170","170","0.007619047537446022","0.007619047537446022","0.007619047537446022"
"82","173","173","173","0.00923280417919159","0.00923280417919159","0.00923280417919159","173","173","173","0.00753968209028244","0.00753968209028244","0.00753968209028244","172","172","172","0.007380952127277851","0.007380952127277851","0.007380952127277851"
"83","175","175","175","0.011481480672955513","0.011481480672955513","0.011481480672955513","175","175","175","0.007248677313327789","0.007248677313327789","0.007248677313327789","174","174","174","0.009576719254255295","0.009576719254255295","0.009576719254255295"
